,bins,hist,pdf,cdf,cdf_normalized
136,136.0,3830,0.004870096842447917,0.6053263346354169,4078.688842773436
137,137.0,3759,0.004779815673828125,0.610106150309245,4110.89524078369
138,138.0,3271,0.004159291585286458,0.6142654418945315,4138.920547485351
139,139.0,3252,0.0041351318359375,0.618400573730469,4166.7830657958975
140,140.0,3249,0.004131317138671875,0.6225318908691408,4194.619880676269
141,141.0,3086,0.003924051920572917,0.6264559427897137,4221.060142517088
142,142.0,2914,0.0037053426106770835,0.6301612854003908,4246.026741027831
143,143.0,2975,0.0037829081217447915,0.6339441935221356,4271.515975952147
144,144.0,2865,0.003643035888671875,0.6375872294108075,4296.062751770018
145,145.0,2900,0.0036875406901041665,0.6412747701009116,4320.90940093994
146,146.0,2477,0.0031496683756510415,0.6444244384765626,4342.131866455076
147,147.0,2759,0.0035082499186197915,0.6479326883951824,4365.7704544067365
148,148.0,2487,0.003162384033203125,0.6510950724283855,4387.078598022459
149,149.0,2627,0.0033404032389322915,0.6544354756673177,4409.586235046384
150,150.0,2550,0.00324249267578125,0.657677968343099,4431.434150695798
151,151.0,2590,0.0032933553059895835,0.6609713236490886,4453.624778747557
152,152.0,2643,0.003360748291015625,0.6643320719401042,4476.26950073242
153,153.0,2727,0.003467559814453125,0.6677996317545574,4499.633918762205
154,154.0,2542,0.0032323201497395835,0.671031951904297,4521.4132919311505
155,155.0,2557,0.0032513936360677085,0.6742833455403647,4543.321182250975
156,156.0,2599,0.0033047993977864585,0.6775881449381512,4565.58892059326
157,157.0,2615,0.0033251444498697915,0.680913289388021,4587.993743896483
158,158.0,2611,0.0033200581868489585,0.68423334757487,4610.364295959471
159,159.0,2811,0.003574371337890625,0.6878077189127606,4634.448410034178
160,160.0,2406,0.00305938720703125,0.6908671061197919,4655.062561035154
161,161.0,2616,0.003326416015625,0.6941935221354169,4677.475952148436
162,162.0,2392,0.0030415852864583335,0.6972351074218752,4697.970153808593
163,163.0,2498,0.0031763712565104165,0.7004114786783856,4719.372543334959
164,164.0,2228,0.0028330485026041665,0.7032445271809897,4738.461624145506
165,165.0,2411,0.0030657450358072915,0.706310272216797,4759.1186141967755
166,166.0,2295,0.002918243408203125,0.7092285156250001,4778.781738281247
167,167.0,2476,0.0031483968098958335,0.712376912434896,4799.995635986325
168,168.0,2287,0.0029080708821614585,0.7152849833170575,4819.590217590329
169,169.0,2522,0.0032068888346354165,0.7184918721516929,4841.198234558103
170,170.0,2461,0.0031293233235677085,0.7216211954752606,4862.283615112302
171,171.0,2670,0.00339508056640625,0.7250162760416669,4885.159667968747
172,172.0,2784,0.0035400390625,0.7285563151041669,4909.012451171872
173,173.0,2833,0.0036023457845052085,0.7321586608886721,4933.285057067869
174,174.0,2881,0.0036633809407552085,0.7358220418294273,4957.968917846678
175,175.0,2901,0.003688812255859375,0.7395108540852867,4982.824134826658
176,176.0,3169,0.004029591878255208,0.743540445963542,5009.975524902342
177,177.0,2985,0.003795623779296875,0.7473360697428388,5035.550437927244
178,178.0,2727,0.003467559814453125,0.750803629557292,5058.914855957029
179,179.0,2995,0.0038083394368489585,0.754611968994141,5084.575447082518
180,180.0,2725,0.0034650166829427085,0.7580769856770837,5107.922729492187
181,181.0,2852,0.0036265055338541665,0.7617034912109378,5132.358123779295
182,182.0,2708,0.0034434000651041665,0.765146891276042,5155.559753417967
183,183.0,2664,0.003387451171875,0.768534342447917,5178.384399414061
184,184.0,2862,0.00363922119140625,0.7721735636393232,5202.905471801756
185,185.0,2809,0.0035718282063802085,0.7757453918457035,5226.972450256346
186,186.0,2689,0.0034192403157552085,0.7791646321614587,5250.011291503905
187,187.0,2709,0.003444671630859375,0.7826093037923181,5273.221488952636
188,188.0,2929,0.0037244160970052085,0.7863337198893233,5298.316604614257
189,189.0,2867,0.0036455790201822915,0.7899792989095056,5322.880516052245
190,190.0,2724,0.0034637451171875,0.7934430440266931,5346.219230651855
191,191.0,2762,0.0035120646158854165,0.7969551086425785,5369.88352203369
192,192.0,2932,0.0037282307942708335,0.8006833394368493,5395.004341125487
193,193.0,2993,0.0038057963053385415,0.8044891357421878,5420.647796630858
194,194.0,2698,0.0034306844075520835,0.80791982014974,5443.763748168944
195,195.0,2998,0.0038121541341145835,0.8117319742838546,5469.4500427246085
196,196.0,2704,0.0034383138020833335,0.8151702880859379,5492.617401123046
197,197.0,2934,0.00373077392578125,0.8189010620117192,5517.75535583496
198,198.0,2875,0.0036557515462239585,0.8225568135579432,5542.387809753418
199,199.0,3037,0.0038617451985677085,0.8264185587565109,5568.408248901367
200,200.0,2937,0.003734588623046875,0.8301531473795578,5593.571907043457
201,201.0,3323,0.004225413004557292,0.8343785603841151,5622.042739868164
202,202.0,3251,0.004133860270182292,0.8385124206542973,5649.896690368651
203,203.0,3612,0.0045928955078125,0.8431053161621098,5680.843620300292
204,204.0,3701,0.004706064860026042,0.8478113810221358,5712.5530853271475
205,205.0,4087,0.005196889241536458,0.8530082702636723,5747.56972503662
206,206.0,3902,0.004961649576822917,0.8579699198404952,5781.001319885253
207,207.0,4232,0.005381266276041667,0.8633511861165368,5817.260292053222
208,208.0,4034,0.005129496256510417,0.8684806823730472,5851.822837829588
209,209.0,4045,0.005143483479817708,0.873624165852865,5886.479629516601
210,210.0,3506,0.004458109537760417,0.8780822753906253,5916.518371582029
211,211.0,3587,0.004561106363932292,0.8826433817545576,5947.251106262205
212,212.0,3094,0.003934224446614583,0.8865776062011722,5973.759910583494
213,213.0,3203,0.004072825113932292,0.8906504313151045,6001.20260620117
214,214.0,2889,0.003673553466796875,0.8943239847819013,6025.955009460447
215,215.0,2940,0.0037384033203125,0.8980623881022138,6051.144371032713
216,216.0,2839,0.0036099751790364585,0.9016723632812503,6075.468383789061
217,217.0,3126,0.00397491455078125,0.9056472778320316,6102.251358032225
218,218.0,3082,0.003918965657552083,0.9095662434895837,6128.657348632812
219,219.0,3475,0.004418690999348958,0.9139849344889327,6158.430488586424
220,220.0,3656,0.004648844401041667,0.9186337788899743,6189.754402160643
221,221.0,4246,0.005399068196614583,0.924032847086589,6226.133323669432
222,222.0,4055,0.005156199137369792,0.9291890462239587,6260.875793457029
223,223.0,4117,0.005235036214192708,0.9344240824381514,6296.14946746826
224,224.0,4382,0.005572001139322917,0.9399960835774743,6333.693611145018
225,225.0,3763,0.004784901936848958,0.9447809855143233,6365.934280395506
226,226.0,3201,0.004070281982421875,0.9488512674967452,6393.359840393065
227,227.0,2947,0.0037473042805989585,0.9525985717773442,6418.60917663574
228,228.0,2561,0.0032564798990885415,0.9558550516764327,6440.551338195799
229,229.0,2439,0.003101348876953125,0.9589564005533858,6461.448226928709
230,230.0,2200,0.0027974446614583335,0.9617538452148442,6480.297409057615
231,231.0,2265,0.002880096435546875,0.9646339416503911,6499.70349884033
232,232.0,1962,0.00249481201171875,0.9671287536621098,6516.513542175291
233,233.0,2127,0.002704620361328125,0.9698333740234379,6534.73727416992
234,234.0,2187,0.002780914306640625,0.9726142883300786,6553.475074768065
235,235.0,2265,0.002880096435546875,0.9754943847656254,6572.881164550779
236,236.0,2419,0.0030759175618489585,0.9785703023274744,6593.606697082519
237,237.0,2445,0.003108978271484375,0.9816792805989588,6614.55499267578
238,238.0,2282,0.0029017130533854165,0.9845809936523442,6634.10673522949
239,239.0,1826,0.0023218790690104165,0.9869028727213546,6649.751556396483
240,240.0,1972,0.0025075276692708335,0.9894104003906254,6666.647277832029
241,241.0,1456,0.0018513997395833333,0.9912618001302088,6679.122009277343
242,242.0,1138,0.0014470418294270833,0.9927088419596359,6688.8721771240225
243,243.0,986,0.0012537638346354167,0.9939626057942713,6697.320037841796
244,244.0,748,0.0009511311848958334,0.9949137369791672,6703.728759765624
